,행정동명,시군구명,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율
0,사직동,종로구,2417,41.0,142.175,68,1.1577,6,24.26
1,삼청동,종로구,743,6.0,82.935,57,1.4781,2,90.34
2,부암동,종로구,2638,44.0,36.67,44,2.273,0,0.0
3,평창동,종로구,5064,69.0,24.822,36,8.9407,5,0.1
4,무악동,종로구,2471,42.0,11.848,1,0.3693,2,1.87
5,교남동,종로구,2784,46.0,71.088,54,0.3467,1,3.09
6,가회동,종로구,1167,19.0,47.392,48,0.5396,1,1.85
7,종로1.2.3.4가동,종로구,1676,31.0,343.59,99,2.4153,6,21.87
8,종로5.6가동,종로구,1145,18.0,68.434,54,0.6027,2,0.55
9,이화동,종로구,1648,30.0,40.141,46,0.7818,2,26.55
10,창신1동,종로구,1332,23.0,14.146,6,0.3051,0,0.0
11,창신2동,종로구,2090,37.0,14.146,6,0.2571,2,4.75
12,창신3동,종로구,1740,32.0,14.146,6,0.2167,3,1.89
13,숭인1동,종로구,1575,29.0,14.146,7,0.2392,1,19.06
14,숭인2동,종로구,1897,34.0,14.146,7,0.3516,1,2.39
15,청운효자동,종로구,3345,52.0,118.479,63,2.5665,2,70.44
16,혜화동,종로구,3689,55.0,71.088,54,1.1316,3,18.75
17,소공동,중구,460,2.0,142.175,68,0.9431,6,1.74
18,회현동,중구,1397,25.0,118.479,63,0.8971,0,0.0
19,명동,중구,763,7.0,272.502,95,0.969,8,0.9
20,필동,중구,1010,14.0,130.327,64,1.4634,1,0.28
21,장충동,중구,1101,17.0,37.842,45,1.0172,0,0.0
22,광희동,중구,1283,22.0,129.972,64,0.7369,3,0.76
23,을지로동,중구,437,2.0,123.076,63,0.6111,1,2.73
24,신당5동,중구,2447,41.0,14.146,7,0.3195,2,5.1
25,황학동,중구,2894,47.0,14.146,7,0.3284,1,0.33
26,중림동,중구,3216,50.0,47.392,48,0.484,4,11.49
27,신당동,중구,1783,32.0,42.439,46,0.5345,0,0.0
28,다산동,중구,3448,53.0,14.146,7,0.5236,3,0.44
29,약수동,중구,5029,69.0,14.146,7,0.486,1,22.16
30,청구동,중구,3626,55.0,14.146,7,0.3423,1,0.5
31,동화동,중구,2822,46.0,14.146,7,0.3268,2,1.71
32,후암동,용산구,4255,61.0,18.927,34,0.8652,2,0.29
33,용산2가동,용산구,2509,42.0,37.855,45,0.0,0,0.0
34,남영동,용산구,1631,30.0,75.71,55,1.1769,3,0.44
35,원효로2동,용산구,3603,55.0,94.637,58,0.7085,2,0.37
36,효창동,용산구,2496,42.0,18.927,34,0.4459,2,38.53
37,용문동,용산구,3016,49.0,37.855,45,0.2773,1,0.54
38,이촌1동,용산구,8191,88.0,18.927,34,2.8706,9,0.45
39,이촌2동,용산구,2411,41.0,18.927,34,1.2046,1,0.04
40,이태원1동,용산구,1731,32.0,18.927,34,0.5825,2,0.39
41,이태원2동,용산구,2425,41.0,18.927,34,0.8736,3,0.62
42,서빙고동,용산구,3475,53.0,75.71,55,2.8198,3,5.15
43,보광동,용산구,3367,52.0,18.927,34,0.7146,0,0.0
44,청파동,용산구,4070,59.0,75.71,55,0.8856,3,1.36
45,원효로1동,용산구,3530,54.0,75.71,55,0.5886,5,3.3
46,한강로동,용산구,4654,65.0,94.637,58,2.8677,5,0.61
47,한남동,용산구,5269,71.0,12.345,1,0.0,0,0.0
48,왕십리2동,성동구,4175,60.0,14.146,7,0.3721,4,9.46
49,마장동,성동구,5432,72.0,14.146,6,1.0345,4,0.31
50,사근동,성동구,2039,36.0,28.293,37,1.1683,2,0.45
51,행당1동,성동구,3383,52.0,14.146,7,0.5731,0,0.0
52,행당2동,성동구,6333,79.0,14.146,7,0.4573,4,1.38
53,응봉동,성동구,4343,62.0,12.345,1,0.5532,3,0.43
54,금호1가동,성동구,4213,61.0,12.345,1,0.4446,1,18.06
55,금호4가동,성동구,4065,59.0,12.345,2,0.8317,2,5.84
56,성수1가1동,성동구,3517,54.0,12.345,2,1.8844,3,25.68
57,성수1가2동,성동구,2994,49.0,12.345,2,0.9294,2,0.39
58,성수2가1동,성동구,3948,58.0,12.345,2,1.1841,6,0.49
59,성수2가3동,성동구,2606,43.0,12.345,2,1.0537,11,1.58
60,송정동,성동구,2472,42.0,14.731,11,0.6814,2,0.1
61,용답동,성동구,2982,48.0,28.878,38,2.3753,3,0.29
62,왕십리도선동,성동구,6836,82.0,56.586,51,0.7098,7,2.09
63,금호2.3가동,성동구,5907,76.0,24.689,36,0.6307,5,4.46
64,옥수동,성동구,7055,84.0,12.345,1,1.9206,2,0.14
65,화양동,광진구,2870,47.0,14.731,11,0.0,0,0.0
66,군자동,광진구,4337,62.0,14.731,10,0.7375,1,0.2
67,중곡1동,광진구,3427,53.0,14.243,8,0.614,1,0.15
68,중곡2동,광진구,4917,68.0,14.243,8,0.5451,3,0.44
69,중곡3동,광진구,3819,57.0,14.243,8,0.6014,0,0.0
70,중곡4동,광진구,6946,83.0,14.243,8,2.3117,0,0.0
71,능동,광진구,2330,40.0,14.731,11,1.0912,2,51.44
72,구의1동,광진구,4398,63.0,14.731,11,0.5649,3,0.53
73,구의2동,광진구,7003,83.0,14.731,10,1.387,2,0.09
74,구의3동,광진구,6640,81.0,14.731,10,1.0268,0,0.0
75,광장동,광진구,9731,93.0,14.731,10,2.3919,1,0.98
76,자양1동,광진구,5019,69.0,14.731,10,0.5684,1,0.18
77,자양2동,광진구,6363,79.0,14.731,10,1.6563,5,0.82
78,자양3동,광진구,7523,86.0,14.731,11,1.1955,3,0.25
79,자양4동,광진구,5135,70.0,14.731,11,1.1791,2,0.13
80,회기동,동대문구,2185,38.0,14.146,7,0.7663,1,0.05
81,휘경1동,동대문구,3086,49.0,14.243,7,0.5214,1,0.31
82,휘경2동,동대문구,6022,77.0,14.243,7,1.1127,4,0.49
83,청량리동,동대문구,6249,78.0,14.146,7,1.2035,2,28.73
84,용신동,동대문구,7434,85.0,28.293,37,1.6172,6,1.74
85,제기동,동대문구,7004,83.0,14.146,7,1.1808,2,0.47
86,전농1동,동대문구,7737,87.0,14.146,7,0.0,0,0.0
87,전농2동,동대문구,5471,72.0,14.146,7,0.9768,1,27.19
88,답십리2동,동대문구,7878,87.0,14.146,7,0.8751,4,18.89
89,장안1동,동대문구,9731,93.0,14.243,7,1.3411,11,2.2
90,장안2동,동대문구,9637,93.0,14.243,8,0.9959,4,1.83
91,이문1동,동대문구,4244,61.0,15.673,17,1.0388,2,0.25
92,이문2동,동대문구,5809,75.0,15.673,17,0.7233,0,0.0
93,답십리1동,동대문구,7496,86.0,14.146,7,0.7876,4,3.53
94,면목2동,중랑구,6279,79.0,14.243,8,0.7625,3,0.41
95,면목4동,중랑구,5061,69.0,14.243,7,0.8428,3,606.41
96,면목5동,중랑구,3680,55.0,14.243,8,0.7044,3,0.44
97,면목7동,중랑구,5707,74.0,14.243,7,1.2352,1,0.11
98,상봉1동,중랑구,6209,78.0,15.673,17,0.8534,1,0.18
99,상봉2동,중랑구,3999,58.0,15.673,17,0.6769,3,0.46
100,중화1동,중랑구,5219,70.0,15.673,17,0.6412,1,0.03
101,중화2동,중랑구,6264,78.0,15.673,17,1.0162,5,0.56
102,묵1동,중랑구,9298,92.0,15.673,17,1.2375,6,0.58
103,묵2동,중랑구,5049,69.0,15.673,17,0.6687,1,0.18
104,망우3동,중랑구,4492,64.0,15.673,17,0.9618,4,0.36
105,신내1동,중랑구,11798,97.0,15.673,17,2.6049,6,2.77
106,신내2동,중랑구,6010,77.0,15.673,16,0.9106,5,114.53
107,면목본동,중랑구,8223,89.0,14.243,7,0.8484,5,0.59
108,면목3.8동,중랑구,6366,79.0,14.243,7,1.6129,5,213.04
109,망우본동,중랑구,7963,87.0,15.673,17,2.9458,6,7.39
110,돈암1동,성북구,4006,59.0,13.848,5,0.4885,2,61.27
111,돈암2동,성북구,6614,81.0,13.848,5,0.5179,0,0.0
112,안암동,성북구,2779,46.0,70.732,54,1.3785,1,0.11
113,보문동,성북구,3967,58.0,99.025,59,0.5526,3,2.08
114,정릉1동,성북구,5245,71.0,12.411,2,0.412,2,1.09
115,정릉2동,성북구,6561,81.0,26.259,37,1.0941,1,0.25
116,정릉3동,성북구,4091,59.0,12.411,2,3.3246,1,0.01
117,정릉4동,성북구,7080,84.0,12.411,2,3.5682,1,46.74
118,길음1동,성북구,10809,96.0,13.848,5,0.7967,8,1.63
119,길음2동,성북구,4595,65.0,27.697,37,0.5875,0,0.0
120,월곡1동,성북구,7801,87.0,13.848,5,0.8012,5,23.71
121,월곡2동,성북구,5314,71.0,27.697,37,1.3639,4,56.05
122,장위1동,성북구,4950,68.0,13.848,5,0.7106,1,0.14
123,장위2동,성북구,4051,59.0,13.848,5,0.6794,1,0.24
124,장위3동,성북구,4707,66.0,13.848,5,0.6495,0,0.0
125,성북동,성북구,4140,60.0,54.85,51,2.8778,1,4.79
126,삼선동,성북구,5638,74.0,113.172,61,0.9255,4,1.47
127,동선동,성북구,2976,48.0,112.874,61,0.7244,0,0.0
128,종암동,성북구,10781,96.0,13.848,5,1.4035,5,0.48
129,석관동,성북구,9603,93.0,15.673,17,1.7037,3,0.25
130,번1동,강북구,4684,66.0,13.848,5,0.6266,3,0.46
131,번2동,강북구,4927,68.0,13.848,5,0.9736,3,139.62
132,번3동,강북구,5976,77.0,13.848,5,1.0804,3,62.04
133,수유1동,강북구,5731,74.0,13.848,5,1.6487,3,0.33
134,수유2동,강북구,6143,78.0,13.848,5,0.5812,3,0.28
135,수유3동,강북구,5598,73.0,13.848,5,0.7451,5,0.6
136,삼양동,강북구,6579,81.0,13.848,5,0.9234,6,14.5
137,미아동,강북구,5787,75.0,13.848,5,0.8406,5,0.59
138,송중동,강북구,8125,88.0,13.848,5,1.075,5,0.41
139,송천동,강북구,7700,86.0,13.848,5,0.9292,2,0.23
140,삼각산동,강북구,9092,91.0,13.848,5,0.6214,4,0.98
141,우이동,강북구,6205,78.0,30.837,39,10.5798,2,0.33
142,인수동,강북구,9297,92.0,13.848,5,2.9958,2,0.06
143,쌍문1동,도봉구,6262,78.0,15.646,16,1.1749,4,28.06
144,쌍문2동,도봉구,5263,71.0,15.646,16,0.5408,2,0.3
145,쌍문3동,도봉구,4474,64.0,15.646,16,0.5044,3,0.4
146,쌍문4동,도봉구,4947,68.0,15.646,16,0.5544,2,0.16
147,방학1동,도봉구,7931,87.0,15.646,16,1.0401,9,2.03
148,방학2동,도봉구,5565,73.0,15.646,16,1.092,5,0.39
149,방학3동,도봉구,8162,88.0,15.646,16,1.9496,4,0.68
150,창1동,도봉구,6851,83.0,15.646,16,1.1213,8,62.67
151,창2동,도봉구,7705,86.0,15.646,16,0.654,5,1.09
152,창3동,도봉구,4029,59.0,15.646,16,0.655,3,0.69
153,창4동,도봉구,6841,82.0,15.646,16,1.1393,6,1.54
